"","date","year","month","day"
"1",1979-01-01,1979,1,1
"2",1979-01-02,1979,1,2
"3",1979-01-03,1979,1,3
"4",1979-01-04,1979,1,4
"5",1979-01-05,1979,1,5
"6",1979-01-06,1979,1,6
"7",1979-01-07,1979,1,7
"8",1979-01-08,1979,1,8
"9",1979-01-09,1979,1,9
"10",1979-01-10,1979,1,10
"11",1979-01-11,1979,1,11
"12",1979-01-12,1979,1,12
"13",1979-01-13,1979,1,13
"14",1979-01-14,1979,1,14
"15",1979-01-15,1979,1,15
"16",1979-01-16,1979,1,16
"17",1979-01-17,1979,1,17
"18",1979-01-18,1979,1,18
"19",1979-01-19,1979,1,19
"20",1979-01-20,1979,1,20
"21",1979-01-21,1979,1,21
"22",1979-01-22,1979,1,22
"23",1979-01-23,1979,1,23
"24",1979-01-24,1979,1,24
"25",1979-01-25,1979,1,25
"26",1979-01-26,1979,1,26
"27",1979-01-27,1979,1,27
"28",1979-01-28,1979,1,28
"29",1979-01-29,1979,1,29
"30",1979-01-30,1979,1,30
"31",1979-01-31,1979,1,31
"32",1979-02-01,1979,2,1
"33",1979-02-02,1979,2,2
"34",1979-02-03,1979,2,3
"35",1979-02-04,1979,2,4
"36",1979-02-05,1979,2,5
"37",1979-02-06,1979,2,6
"38",1979-02-07,1979,2,7
"39",1979-02-08,1979,2,8
"40",1979-02-09,1979,2,9
"41",1979-02-10,1979,2,10
"42",1979-02-11,1979,2,11
"43",1979-02-12,1979,2,12
"44",1979-02-13,1979,2,13
"45",1979-02-14,1979,2,14
"46",1979-02-15,1979,2,15
"47",1979-02-16,1979,2,16
"48",1979-02-17,1979,2,17
"49",1979-02-18,1979,2,18
"50",1979-02-19,1979,2,19
"51",1979-02-20,1979,2,20
"52",1979-02-21,1979,2,21
"53",1979-02-22,1979,2,22
"54",1979-02-23,1979,2,23
"55",1979-02-24,1979,2,24
"56",1979-02-25,1979,2,25
"57",1979-02-26,1979,2,26
"58",1979-02-27,1979,2,27
"59",1979-02-28,1979,2,28
"60",1979-03-01,1979,3,1
"61",1979-03-02,1979,3,2
"62",1979-03-03,1979,3,3
"63",1979-03-04,1979,3,4
"64",1979-03-05,1979,3,5
"65",1979-03-06,1979,3,6
"66",1979-03-07,1979,3,7
"67",1979-03-08,1979,3,8
"68",1979-03-09,1979,3,9
"69",1979-03-10,1979,3,10
"70",1979-03-11,1979,3,11
"71",1979-03-12,1979,3,12
"72",1979-03-13,1979,3,13
"73",1979-03-14,1979,3,14
"74",1979-03-15,1979,3,15
"75",1979-03-16,1979,3,16
"76",1979-03-17,1979,3,17
"77",1979-03-18,1979,3,18
"78",1979-03-19,1979,3,19
"79",1979-03-20,1979,3,20
"80",1979-03-21,1979,3,21
"81",1979-03-22,1979,3,22
"82",1979-03-23,1979,3,23
"83",1979-03-24,1979,3,24
"84",1979-03-25,1979,3,25
"85",1979-03-26,1979,3,26
"86",1979-03-27,1979,3,27
"87",1979-03-28,1979,3,28
"88",1979-03-29,1979,3,29
"89",1979-03-30,1979,3,30
"90",1979-03-31,1979,3,31
"91",1979-04-01,1979,4,1
"92",1979-04-02,1979,4,2
"93",1979-04-03,1979,4,3
"94",1979-04-04,1979,4,4
"95",1979-04-05,1979,4,5
"96",1979-04-06,1979,4,6
"97",1979-04-07,1979,4,7
"98",1979-04-08,1979,4,8
"99",1979-04-09,1979,4,9
"100",1979-04-10,1979,4,10
"101",1979-04-11,1979,4,11
"102",1979-04-12,1979,4,12
"103",1979-04-13,1979,4,13
"104",1979-04-14,1979,4,14
"105",1979-04-15,1979,4,15
"106",1979-04-16,1979,4,16
"107",1979-04-17,1979,4,17
"108",1979-04-18,1979,4,18
"109",1979-04-19,1979,4,19
"110",1979-04-20,1979,4,20
"111",1979-04-21,1979,4,21
"112",1979-04-22,1979,4,22
"113",1979-04-23,1979,4,23
"114",1979-04-24,1979,4,24
"115",1979-04-25,1979,4,25
"116",1979-04-26,1979,4,26
"117",1979-04-27,1979,4,27
"118",1979-04-28,1979,4,28
"119",1979-04-29,1979,4,29
"120",1979-04-30,1979,4,30
"121",1979-05-01,1979,5,1
"122",1979-05-02,1979,5,2
"123",1979-05-03,1979,5,3
"124",1979-05-04,1979,5,4
"125",1979-05-05,1979,5,5
"126",1979-05-06,1979,5,6
"127",1979-05-07,1979,5,7
"128",1979-05-08,1979,5,8
"129",1979-05-09,1979,5,9
"130",1979-05-10,1979,5,10
"131",1979-05-11,1979,5,11
"132",1979-05-12,1979,5,12
"133",1979-05-13,1979,5,13
"134",1979-05-14,1979,5,14
"135",1979-05-15,1979,5,15
"136",1979-05-16,1979,5,16
"137",1979-05-17,1979,5,17
"138",1979-05-18,1979,5,18
"139",1979-05-19,1979,5,19
"140",1979-05-20,1979,5,20
"141",1979-05-21,1979,5,21
"142",1979-05-22,1979,5,22
"143",1979-05-23,1979,5,23
"144",1979-05-24,1979,5,24
"145",1979-05-25,1979,5,25
"146",1979-05-26,1979,5,26
"147",1979-05-27,1979,5,27
"148",1979-05-28,1979,5,28
"149",1979-05-29,1979,5,29
"150",1979-05-30,1979,5,30
"151",1979-05-31,1979,5,31
"152",1979-06-01,1979,6,1
"153",1979-06-02,1979,6,2
"154",1979-06-03,1979,6,3
"155",1979-06-04,1979,6,4
"156",1979-06-05,1979,6,5
"157",1979-06-06,1979,6,6
"158",1979-06-07,1979,6,7
"159",1979-06-08,1979,6,8
"160",1979-06-09,1979,6,9
"161",1979-06-10,1979,6,10
"162",1979-06-11,1979,6,11
"163",1979-06-12,1979,6,12
"164",1979-06-13,1979,6,13
"165",1979-06-14,1979,6,14
"166",1979-06-15,1979,6,15
"167",1979-06-16,1979,6,16
"168",1979-06-17,1979,6,17
"169",1979-06-18,1979,6,18
"170",1979-06-19,1979,6,19
"171",1979-06-20,1979,6,20
"172",1979-06-21,1979,6,21
"173",1979-06-22,1979,6,22
"174",1979-06-23,1979,6,23
"175",1979-06-24,1979,6,24
"176",1979-06-25,1979,6,25
"177",1979-06-26,1979,6,26
"178",1979-06-27,1979,6,27
"179",1979-06-28,1979,6,28
"180",1979-06-29,1979,6,29
"181",1979-06-30,1979,6,30
"182",1979-07-01,1979,7,1
"183",1979-07-02,1979,7,2
"184",1979-07-03,1979,7,3
"185",1979-07-04,1979,7,4
"186",1979-07-05,1979,7,5
"187",1979-07-06,1979,7,6
"188",1979-07-07,1979,7,7
"189",1979-07-08,1979,7,8
"190",1979-07-09,1979,7,9
"191",1979-07-10,1979,7,10
"192",1979-07-11,1979,7,11
"193",1979-07-12,1979,7,12
"194",1979-07-13,1979,7,13
"195",1979-07-14,1979,7,14
"196",1979-07-15,1979,7,15
"197",1979-07-16,1979,7,16
"198",1979-07-17,1979,7,17
"199",1979-07-18,1979,7,18
"200",1979-07-19,1979,7,19
"201",1979-07-20,1979,7,20
"202",1979-07-21,1979,7,21
"203",1979-07-22,1979,7,22
"204",1979-07-23,1979,7,23
"205",1979-07-24,1979,7,24
"206",1979-07-25,1979,7,25
"207",1979-07-26,1979,7,26
"208",1979-07-27,1979,7,27
"209",1979-07-28,1979,7,28
"210",1979-07-29,1979,7,29
"211",1979-07-30,1979,7,30
"212",1979-07-31,1979,7,31
"213",1979-08-01,1979,8,1
"214",1979-08-02,1979,8,2
"215",1979-08-03,1979,8,3
"216",1979-08-04,1979,8,4
"217",1979-08-05,1979,8,5
"218",1979-08-06,1979,8,6
"219",1979-08-07,1979,8,7
"220",1979-08-08,1979,8,8
"221",1979-08-09,1979,8,9
"222",1979-08-10,1979,8,10
"223",1979-08-11,1979,8,11
"224",1979-08-12,1979,8,12
"225",1979-08-13,1979,8,13
"226",1979-08-14,1979,8,14
"227",1979-08-15,1979,8,15
"228",1979-08-16,1979,8,16
"229",1979-08-17,1979,8,17
"230",1979-08-18,1979,8,18
"231",1979-08-19,1979,8,19
"232",1979-08-20,1979,8,20
"233",1979-08-21,1979,8,21
"234",1979-08-22,1979,8,22
"235",1979-08-23,1979,8,23
"236",1979-08-24,1979,8,24
"237",1979-08-25,1979,8,25
"238",1979-08-26,1979,8,26
"239",1979-08-27,1979,8,27
"240",1979-08-28,1979,8,28
"241",1979-08-29,1979,8,29
"242",1979-08-30,1979,8,30
"243",1979-08-31,1979,8,31
"244",1979-09-01,1979,9,1
"245",1979-09-02,1979,9,2
"246",1979-09-03,1979,9,3
"247",1979-09-04,1979,9,4
"248",1979-09-05,1979,9,5
"249",1979-09-06,1979,9,6
"250",1979-09-07,1979,9,7
"251",1979-09-08,1979,9,8
"252",1979-09-09,1979,9,9
"253",1979-09-10,1979,9,10
"254",1979-09-11,1979,9,11
"255",1979-09-12,1979,9,12
"256",1979-09-13,1979,9,13
"257",1979-09-14,1979,9,14
"258",1979-09-15,1979,9,15
"259",1979-09-16,1979,9,16
"260",1979-09-17,1979,9,17
"261",1979-09-18,1979,9,18
"262",1979-09-19,1979,9,19
"263",1979-09-20,1979,9,20
"264",1979-09-21,1979,9,21
"265",1979-09-22,1979,9,22
"266",1979-09-23,1979,9,23
"267",1979-09-24,1979,9,24
"268",1979-09-25,1979,9,25
"269",1979-09-26,1979,9,26
"270",1979-09-27,1979,9,27
"271",1979-09-28,1979,9,28
"272",1979-09-29,1979,9,29
"273",1979-09-30,1979,9,30
"274",1979-10-01,1979,10,1
"275",1979-10-02,1979,10,2
"276",1979-10-03,1979,10,3
"277",1979-10-04,1979,10,4
"278",1979-10-05,1979,10,5
"279",1979-10-06,1979,10,6
"280",1979-10-07,1979,10,7
"281",1979-10-08,1979,10,8
"282",1979-10-09,1979,10,9
"283",1979-10-10,1979,10,10
"284",1979-10-11,1979,10,11
"285",1979-10-12,1979,10,12
"286",1979-10-13,1979,10,13
"287",1979-10-14,1979,10,14
"288",1979-10-15,1979,10,15
"289",1979-10-16,1979,10,16
"290",1979-10-17,1979,10,17
"291",1979-10-18,1979,10,18
"292",1979-10-19,1979,10,19
"293",1979-10-20,1979,10,20
"294",1979-10-21,1979,10,21
"295",1979-10-22,1979,10,22
"296",1979-10-23,1979,10,23
"297",1979-10-24,1979,10,24
"298",1979-10-25,1979,10,25
"299",1979-10-26,1979,10,26
"300",1979-10-27,1979,10,27
"301",1979-10-28,1979,10,28
"302",1979-10-29,1979,10,29
"303",1979-10-30,1979,10,30
"304",1979-10-31,1979,10,31
"305",1979-11-01,1979,11,1
"306",1979-11-02,1979,11,2
"307",1979-11-03,1979,11,3
"308",1979-11-04,1979,11,4
"309",1979-11-05,1979,11,5
"310",1979-11-06,1979,11,6
"311",1979-11-07,1979,11,7
"312",1979-11-08,1979,11,8
"313",1979-11-09,1979,11,9
"314",1979-11-10,1979,11,10
"315",1979-11-11,1979,11,11
"316",1979-11-12,1979,11,12
"317",1979-11-13,1979,11,13
"318",1979-11-14,1979,11,14
"319",1979-11-15,1979,11,15
"320",1979-11-16,1979,11,16
"321",1979-11-17,1979,11,17
"322",1979-11-18,1979,11,18
"323",1979-11-19,1979,11,19
"324",1979-11-20,1979,11,20
"325",1979-11-21,1979,11,21
"326",1979-11-22,1979,11,22
"327",1979-11-23,1979,11,23
"328",1979-11-24,1979,11,24
"329",1979-11-25,1979,11,25
"330",1979-11-26,1979,11,26
"331",1979-11-27,1979,11,27
"332",1979-11-28,1979,11,28
"333",1979-11-29,1979,11,29
"334",1979-11-30,1979,11,30
"335",1979-12-01,1979,12,1
"336",1979-12-02,1979,12,2
"337",1979-12-03,1979,12,3
"338",1979-12-04,1979,12,4
"339",1979-12-05,1979,12,5
"340",1979-12-06,1979,12,6
"341",1979-12-07,1979,12,7
"342",1979-12-08,1979,12,8
"343",1979-12-09,1979,12,9
"344",1979-12-10,1979,12,10
"345",1979-12-11,1979,12,11
"346",1979-12-12,1979,12,12
"347",1979-12-13,1979,12,13
"348",1979-12-14,1979,12,14
"349",1979-12-15,1979,12,15
"350",1979-12-16,1979,12,16
"351",1979-12-17,1979,12,17
"352",1979-12-18,1979,12,18
"353",1979-12-19,1979,12,19
"354",1979-12-20,1979,12,20
"355",1979-12-21,1979,12,21
"356",1979-12-22,1979,12,22
"357",1979-12-23,1979,12,23
"358",1979-12-24,1979,12,24
"359",1979-12-25,1979,12,25
"360",1979-12-26,1979,12,26
"361",1979-12-27,1979,12,27
"362",1979-12-28,1979,12,28
"363",1979-12-29,1979,12,29
"364",1979-12-30,1979,12,30
"365",1979-12-31,1979,12,31
"366",1980-01-01,1980,1,1
"367",1980-01-02,1980,1,2
"368",1980-01-03,1980,1,3
"369",1980-01-04,1980,1,4
"370",1980-01-05,1980,1,5
"371",1980-01-06,1980,1,6
"372",1980-01-07,1980,1,7
"373",1980-01-08,1980,1,8
"374",1980-01-09,1980,1,9
"375",1980-01-10,1980,1,10
"376",1980-01-11,1980,1,11
"377",1980-01-12,1980,1,12
"378",1980-01-13,1980,1,13
"379",1980-01-14,1980,1,14
"380",1980-01-15,1980,1,15
"381",1980-01-16,1980,1,16
"382",1980-01-17,1980,1,17
"383",1980-01-18,1980,1,18
"384",1980-01-19,1980,1,19
"385",1980-01-20,1980,1,20
"386",1980-01-21,1980,1,21
"387",1980-01-22,1980,1,22
"388",1980-01-23,1980,1,23
"389",1980-01-24,1980,1,24
"390",1980-01-25,1980,1,25
"391",1980-01-26,1980,1,26
"392",1980-01-27,1980,1,27
"393",1980-01-28,1980,1,28
"394",1980-01-29,1980,1,29
"395",1980-01-30,1980,1,30
"396",1980-01-31,1980,1,31
"397",1980-02-01,1980,2,1
"398",1980-02-02,1980,2,2
"399",1980-02-03,1980,2,3
"400",1980-02-04,1980,2,4
"401",1980-02-05,1980,2,5
"402",1980-02-06,1980,2,6
"403",1980-02-07,1980,2,7
"404",1980-02-08,1980,2,8
"405",1980-02-09,1980,2,9
"406",1980-02-10,1980,2,10
"407",1980-02-11,1980,2,11
"408",1980-02-12,1980,2,12
"409",1980-02-13,1980,2,13
"410",1980-02-14,1980,2,14
"411",1980-02-15,1980,2,15
"412",1980-02-16,1980,2,16
"413",1980-02-17,1980,2,17
"414",1980-02-18,1980,2,18
"415",1980-02-19,1980,2,19
"416",1980-02-20,1980,2,20
"417",1980-02-21,1980,2,21
"418",1980-02-22,1980,2,22
"419",1980-02-23,1980,2,23
"420",1980-02-24,1980,2,24
"421",1980-02-25,1980,2,25
"422",1980-02-26,1980,2,26
"423",1980-02-27,1980,2,27
"424",1980-02-28,1980,2,28
"425",1980-02-29,1980,2,29
"426",1980-03-01,1980,3,1
"427",1980-03-02,1980,3,2
"428",1980-03-03,1980,3,3
"429",1980-03-04,1980,3,4
"430",1980-03-05,1980,3,5
"431",1980-03-06,1980,3,6
"432",1980-03-07,1980,3,7
"433",1980-03-08,1980,3,8
"434",1980-03-09,1980,3,9
"435",1980-03-10,1980,3,10
"436",1980-03-11,1980,3,11
"437",1980-03-12,1980,3,12
"438",1980-03-13,1980,3,13
"439",1980-03-14,1980,3,14
"440",1980-03-15,1980,3,15
"441",1980-03-16,1980,3,16
"442",1980-03-17,1980,3,17
"443",1980-03-18,1980,3,18
"444",1980-03-19,1980,3,19
"445",1980-03-20,1980,3,20
"446",1980-03-21,1980,3,21
"447",1980-03-22,1980,3,22
"448",1980-03-23,1980,3,23
"449",1980-03-24,1980,3,24
"450",1980-03-25,1980,3,25
"451",1980-03-26,1980,3,26
"452",1980-03-27,1980,3,27
"453",1980-03-28,1980,3,28
"454",1980-03-29,1980,3,29
"455",1980-03-30,1980,3,30
"456",1980-03-31,1980,3,31
"457",1980-04-01,1980,4,1
"458",1980-04-02,1980,4,2
"459",1980-04-03,1980,4,3
"460",1980-04-04,1980,4,4
"461",1980-04-05,1980,4,5
"462",1980-04-06,1980,4,6
"463",1980-04-07,1980,4,7
"464",1980-04-08,1980,4,8
"465",1980-04-09,1980,4,9
"466",1980-04-10,1980,4,10
"467",1980-04-11,1980,4,11
"468",1980-04-12,1980,4,12
"469",1980-04-13,1980,4,13
"470",1980-04-14,1980,4,14
"471",1980-04-15,1980,4,15
"472",1980-04-16,1980,4,16
"473",1980-04-17,1980,4,17
"474",1980-04-18,1980,4,18
"475",1980-04-19,1980,4,19
"476",1980-04-20,1980,4,20
"477",1980-04-21,1980,4,21
"478",1980-04-22,1980,4,22
"479",1980-04-23,1980,4,23
"480",1980-04-24,1980,4,24
"481",1980-04-25,1980,4,25
"482",1980-04-26,1980,4,26
"483",1980-04-27,1980,4,27
"484",1980-04-28,1980,4,28
"485",1980-04-29,1980,4,29
"486",1980-04-30,1980,4,30
"487",1980-05-01,1980,5,1
"488",1980-05-02,1980,5,2
"489",1980-05-03,1980,5,3
"490",1980-05-04,1980,5,4
"491",1980-05-05,1980,5,5
"492",1980-05-06,1980,5,6
"493",1980-05-07,1980,5,7
"494",1980-05-08,1980,5,8
"495",1980-05-09,1980,5,9
"496",1980-05-10,1980,5,10
"497",1980-05-11,1980,5,11
"498",1980-05-12,1980,5,12
"499",1980-05-13,1980,5,13
"500",1980-05-14,1980,5,14
"501",1980-05-15,1980,5,15
"502",1980-05-16,1980,5,16
"503",1980-05-17,1980,5,17
"504",1980-05-18,1980,5,18
"505",1980-05-19,1980,5,19
"506",1980-05-20,1980,5,20
"507",1980-05-21,1980,5,21
"508",1980-05-22,1980,5,22
"509",1980-05-23,1980,5,23
"510",1980-05-24,1980,5,24
"511",1980-05-25,1980,5,25
"512",1980-05-26,1980,5,26
"513",1980-05-27,1980,5,27
"514",1980-05-28,1980,5,28
"515",1980-05-29,1980,5,29
"516",1980-05-30,1980,5,30
"517",1980-05-31,1980,5,31
"518",1980-06-01,1980,6,1
"519",1980-06-02,1980,6,2
"520",1980-06-03,1980,6,3
"521",1980-06-04,1980,6,4
"522",1980-06-05,1980,6,5
"523",1980-06-06,1980,6,6
"524",1980-06-07,1980,6,7
"525",1980-06-08,1980,6,8
"526",1980-06-09,1980,6,9
"527",1980-06-10,1980,6,10
"528",1980-06-11,1980,6,11
"529",1980-06-12,1980,6,12
"530",1980-06-13,1980,6,13
"531",1980-06-14,1980,6,14
"532",1980-06-15,1980,6,15
"533",1980-06-16,1980,6,16
"534",1980-06-17,1980,6,17
"535",1980-06-18,1980,6,18
"536",1980-06-19,1980,6,19
"537",1980-06-20,1980,6,20
"538",1980-06-21,1980,6,21
"539",1980-06-22,1980,6,22
"540",1980-06-23,1980,6,23
"541",1980-06-24,1980,6,24
"542",1980-06-25,1980,6,25
"543",1980-06-26,1980,6,26
"544",1980-06-27,1980,6,27
"545",1980-06-28,1980,6,28
"546",1980-06-29,1980,6,29
"547",1980-06-30,1980,6,30
"548",1980-07-01,1980,7,1
"549",1980-07-02,1980,7,2
"550",1980-07-03,1980,7,3
"551",1980-07-04,1980,7,4
"552",1980-07-05,1980,7,5
"553",1980-07-06,1980,7,6
